Name;Description;Stature;Leaf_tip_color;Bean_size;Optimal_Altitude_1;Optimal_Altitude_2;Optimal_Altitude_3;Quality_potential;Yield_potential;Coffee_leaf_rust;CBD;Nematodes;Year_First_Production;Nutrition_Requirement;Ripening_of_Fruit;CTGB;Planting_Density;Additional; Lineage;Genetic Description;History;Breeder;Intellectual_Property_Rights;Image
Anacafe 14;Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.;Dwarf/Compact;Green;Very Large;>1200m;>900m;>700m;Good;High;Resistant;Susceptible;Susceptible;Year Two;High;Late;High;4000-5000 a/ha  (using single-stem pruning);"Anacafe 14 is drought tolerant. Anacafe 14 is not uniform; plants are not stable from one generation to the next.";(Timor Hybrid 832/1 x Caturra) x Pacamara;Introgressed (Catimor);"Anacafe 14 is supposed to have originated from a natural cross between a Catimor variety (Timor Hybrid 832/1 x Caturra) with Pacamara around 1980, in the Department of Chiquimula, Guatemala. It was discovered by farmer Francisco Manchamé. After several cycles of mass selection, in which a group of individual plants are selected based on their superior performance, and then seed from these plants is bulked to form a new generation. and genealogical selection by the National Coffee Association of Guatemala (ANACAFÉ), it was released as a commercial variety in 2014.
For more background on the history of the Catimor group of coffees, see T8667.";National Coffee Association of Guatemala (ANACAFÉ);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Batian;A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.;Tall;Green or Bronze;Very Large;>1000m;>700m;>400m;Very Good;High;Tolerant;Resistant;Susceptible;Year Two;Medium;Unknown;High;2000-3000 a/ha (using multiple-stem pruning);Well-adapted for smallholders because of its rare combination of being a tall variety with disease resistance and resillience (e.g., can cope with low management and adverse environmental conditions).;Composite variety containing parentage from: SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid.;Introgressed (Other);"A variety resistant to coffee leaf rust and coffee berry disease created at the Coffee Research Station (CRS; now the Coffee Research Institute, CRI) in Ruiru, Kenya.  Batian was released in Kenya in 2010. 
Batian was created via single-tree selections from fifth filial (F5) generations from the male parent of some Ruiru 11 progenies. Batian is a composite variety, mixing three different pure line varieties. The varieties involved in the original crosses are: SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid.";Coffee Research Foundation (now Kenya Agricultural and Livestock Research Organization, KALRO);This plant is registered in the International Union for the Protection of New Varieties of Plants (UPOV);https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/batian-640x480-q50.jpg
Bourbon;One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.;Tall;Green;Average;>1600m;>1300m;>1000m;Very Good;Medium;Susceptible;Susceptible;Susceptible;Year Four;Medium;Early;Average;3000-4000 (using single stem pruning);;Bourbon-like genetic background.;Bourbon-Typica Group (Bourbon-related);"Bourbon is the most famous of the Bourbon-descended varieties (see History of Bourbon and Typica for a full history of this group of coffees). It is a tall variety characterized by relatively low production, susceptibility to the major diseases, and excellent cup quality.
French missionaries introduced Bourbon from Yemen to Bourbon Island (now La Réunion)—giving it the name it has today—in the early 1700s. Until the mid-19th century, Bourbon did not leave the island. But beginning in the mid-1800s, the variety spread to new parts of the world as the missionaries moved to establish footholds in Africa and the Americas. 
The Bourbon variety was introduced to Brazil around 1860, and from there rapidly spread north into other parts of South and Central America, where it is still cultivated today. Here it became mixed with other Bourbon-related varieties, introduced from India as well as Ethiopian landraces. Nowadays, there are many Bourbon-like varieties found in East Africa, but none exactly match the distinct Bourbon variety that can be found in Latin America.
Today in Latin America, Bourbon itself has largely been replaced by varieties that descend from it (notably including Caturra, Catuai, and Mundo Novo), although Bourbon itself it is still cultivated in El Salvador, Guatemala, Honduras, and Peru.";None;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/img_2785-640x427-q50.jpg
Bourbon Mayaguez 71;Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.;Tall;Bronze;Large;>1200m;>900m;>700m;Good;Medium;Susceptible;Susceptible;Unknown;Year Three;Medium;Unknown;Average;1000-2000 a/ha (using multiple-stem pruning);;Bourbon-like genetic background.;Bourbon-Typica Group (Bourbon-related);"Bourbon Mayaguez 71 got its name because it is believed to have transited from Central America through the USDA germplasm collection of Mayaguez in Puerto Rico. Bourbon had previously been introduced to Puerto Rico from Central America. It was introduced to the germplasm collection at Mulungu in the Democratic Republic of Congo in the 1930s, and then introduced to Rwanda in the early 1950s. It is an important variety in Rwanda. 
When the population of Bourbon Mayaguez was introduced to East Africa, some mother trees were selected over others as the basis for the release of new varieties.  Bourbon Mayaguez 71 and Bourbon Mayaguez 139 resulted from these selections; they are very similar in agronomic performance.";Rwanda Agricultural Board (RAB);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/bm71-rwanda-640x853-q50.jpg
Bourbon Mayaguez 139;Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.;Tall;Bronze;Large;1200-1600m;900-1300m;700-1000m;Very Good;High;Susceptible;Susceptible;Unknown;Year Three;Medium;Average;Average;2000-3000 a/ha (using multiple-stem pruning);;Bourbon-like genetic background.;Bourbon-Typica Group (Bourbon-related);"Bourbon Mayaguez 139 got its name because it is believed to have transited from Central America through the USDA germplasm collection of Mayaguez in Puerto Rico. Bourbon had previously been introduced to Puerto Rico from Central America. It was introduced to the germplasm collection at Mulungu in the Democratic Republic of Congo in the 1930s, and then brought to Rwanda in the early 1950s. It is an important variety in Rwanda. 
When the population of Bourbon Mayaguez was introduced to East Africa, some mother trees were selected over others as the basis for the release of new varieties.  Bourbon Mayaguez 71 and Bourbon Mayaguez 139 resulted from these selections; they are very similar in agronomic performance.";Rwanda Agricultural Board (RAB);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/bm-139-496x662-q50.jpg
Casiopea;High yielding variety, with exceptional quality at elevations above 1300 meters.;Dwarf/Compact;Bronze;Large;>1600m;>1300m;>1000m;Exceptional;High;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Very High;4000-5000 a/ha  (using single-stem pruning);An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.;"Caturra x Ethiopian wild accession ""ET41"" (CATIE collection)";F1 Hybrid (Not Introgressed);"A first-generation (F1) hybrid originating from a cross between Caturra and an Ethiopian landrace from the CATIE collection (accession ET41). 
The variety was created  by a consortium including French research institute CIRAD, a regional network of national coffee institutes in Central America (PROMECAFE), and CATIE. F1 hybrids in Central America  are part of an effort by breeders to increase the genetic diversity of varieties in the region since the traditional American varieties are severely genetically constricted. 
Typically, F1 hybrid parents are chosen to be  genetically distant from one another; this distance maximizes hybrid vigor, which translates into high yields and overall vigor (for example, tolerance to frost), without losses in cup quality or disease resistance. There are only a handful of F1 hybrid coffee varieties in the world, most developed in the last 10 years, and only recently commercially available to farmers.";CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE;"This plant is in the public domain in Costa Rica, El Salvador, Guatemala and Honduras; outside of these countries, permission should be requested from PROMECAFE.";https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/img_20160213_085814-640x1140-q50.jpg
Catimor 129;High yielding dwarf variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.;Dwarf/Compact;Green;Large;1000-1600m;700-1300m;400-1000m;Good;Very High;Resistant;Resistant;Susceptible;Year Two;High;Average;Average;3000-4000 (using single stem pruning);Requires careful management to maximize yield without overbearing.;Selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343);Introgressed (Catimor);"Cat129, which is sometimes called Nyika in Malawi where the variety is grown, is a selection of a Catimor breeding line from Colombia (Caturra x Timor Hybrid 1343). It was introduced to Africa in the 1970s via Kenya (where it was used as one of the female parents of some Ruiru 11 progenies). It was then introduced in Malawi in the 1990s, where it was selected by the Coffee Research Unit of the Tea Research Foundation for release as a variety in 2006, mainly for its yield and resistance to both coffee leaf rust and coffee berry disease (CBD). 
The introduction to Malawi was part of a program financed by the European Union (EU) to rehabilitate the farms of smallholder coffee producers by gradually replacing the aging populations of Agaro and Geisha varieties with higher yielding Catimors, which would also enable coffee leaf rust and CBD to be controlled without the need for costly fungicide sprays. Of the five Catimor lines introduced, only one—Cat129—showed some resistance to CBD. 
For more background on the history of the Catimor group of coffees, see T8667.";Cenicafe;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/cat129-malawi-640x853-q50.jpg
Catisic;Adapted to warmest zones and acidic soils. High yielding.;Dwarf/Compact;Bronze;Average;1000-1600m;700-1300m;400-1000m;Very Low;High;Resistant;Susceptible;Susceptible;Year Three;High;Average;Low;5000-6000 a/ha  (using single-stem pruning);Susceptible to Ojo de Gallo. Adapted to warmest zones and acidic soils.;Timor Hybrid 832/1 x Caturra;Introgressed (Catimor);"A cross between Timor Hybrid 832/1 and Caturra. Pedigree selection (selection of individual plants through successive generations) made by PROMECAFE/Salvadoran Institute for Coffee Research (ISIC). Very similar to *For more background on the history of the Catimor group of coffees, see Costa Rica 95.
For more background on the history of the Catimor group of coffees, see T8667.";Instituto Salvadoreño de Investigaciones del Café (ISIC);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Catuai;A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.;Dwarf/Compact;Green;Average;>1600m;>1300m;>1000m;Good;Good;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Average;5000-6000 a/ha  (using single-stem pruning);;Mundo Novo x  Caturra;Bourbon-Typica Group (Typica- and Bourbon-related);"A cross between highly productive Mundo Novo and compact Caturra, made by the Instituto Agronomico (IAC) of Sao Paulo State in Campinas, Brazil. The plant is highly productive compared to Bourbon, in part because of its small size, which allows plants to be closely spaced; it can be planted at nearly double the density. The plant’s shape makes it relatively easy apply pest and disease treatments. It is mainly characterized by great vigor and its low height; it is less compact than Caturra. It is highly susceptible to coffee leaf rust.
Catuaí derives from the Guarani multo mom, meaning “very good."" Today, it is considered to have good but not great cup quality. There are yellow-fruited and red-fruited types, and have since been many selections in different countries. The cultivar was created in 1949 from a crossing of yellow Caturra and Mundo Novo, and initially called H-2077. 
The variety was released in Brazil 1972 after pedigree selection (selection of individual plants through successive generations) and is in wide cultivation there. In Brazil, there are multiple lines of Catuai available; some are notable for their high productivity. The Catuaí lines transferred to Central America seem to be less productive; studies in Honduras and Costa Rica found no significant differences in productivity have been observed between Caturra and Catuaí.
It was first introduced in Honduras in 1979, where it was tested by Instituto Hondureño del Café (IHCAFÉ). It was released commercially in 1983, after IHCAFÉ selected two lines for planting. In Honduras today, Catui accounts for nearly half of the Arabica coffee in cultivation. Researchers at IHCAFÉ are actively pursuing breeding with Catuai, including creating hybrid crosses between Catuai and Timor Hybrid lines.
It is also economically important in Costa Rica, where a yellow-fruiting Catuai was introduced in 1985, whose descendants have spread widely through the country. It was introduced into Guatemala in 1970; currently about 20% of the country’s production is Catuai. It has a negligible presence in other Central American countries.
Catuai, whose small stature allows it to be planted densely and harvested more efficiently, led in part to the intensification of full-sun coffee cultivation in Central America in the 1970s and 1980s.
A similar variety called Garnica was developed by the Mexican Coffee Institute (INMECAFÉ)  in 1960-61, through the crossing of Mundo Novo  with Caturra Amarillo. Adaptation trials were established in 1978-79, but INMECAFÉ was dissolved in 1989 before pedigree selections were completed. Further selections were made by private producers in Mexico, but the variety is difficult to trace.";Instituto Agronômico (IAC), Brazil;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/catuai_1-640x427-q50.jpg
Caturra;A compact plant with good yielding potential of standard quality in Central America. Very high susceptibility to  coffee leaf rust.;Dwarf/Compact;Green;Average;>1600m;>1300m;>1000m;Good;Good;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Average;5000-6000 a/ha  (using single-stem pruning);;Natural mutation of the Bourbon variety;Bourbon-Typica Group (Bourbon-related);"Caturra is a natural mutation of the Bourbon variety. It was discovered on a plantation in the state of Minas Gerais in Brazil sometime between 1915 and 1918. 
Caturra has a single-gene mutation that causes the plant to grow smaller (called dwarfism). Its name derives from the Guarani word meaning ""small."" It is also called ""Nanico."" After Caturra’s discovery, selections were made by the Instituto Agronomico (IAC) of Sao Paulo State in Campinas, Brazil, starting in 1937. Breeders were interested in Caturra’s small size, which allows plants to be placed closer together, and its closely spaced secondary branches, which enable it to produce more fruit in the same space.
The selection process for Caturra was called mass selection, meaning that a group of individuals are selected based on their superior performance, seed from these plants is bulked to form a new generation, and then the process is repeated. The variety was never officially released in Brazil, but has become common in Central America.
It was introduced in Guatemala in the 1940s, but widespread commercial adoption didn’t happen for another three decades. From Guatemala, it was introduced to Costa Rica, Honduras, and Panama. Today, it is one of the most economically important coffees in Central America, to the extent that it is often used as a “benchmark” against which new cultivars are tested. In Colombia, Caturra was thought to represent nearly half of the country’s production until a government-sponsored program beginning in 2008 incentivised renovation of over three billion coffee trees with the leaf-rust resistant Castillo variety (which has Caturra parentage). 
Caturra led in part to the intensification of coffee cultivation through higher density planting, often in full sun, that took place in the region in the second half of the 20th century. 
Caturra is also known for being one of the parents the so-called “Catimor” family of cultivars. Various lines of the coffee-leaf-rust-resistant Timor Hybrid were crossed with Caturra to produce a dwarf plant with rust resistance. Examples of Catimor varieties include: Costa Rica 95, Catisic, Lempira, and IHCAFE 90.
For more information on the history of the Catimor group, see T8667.";Instituto Agronômico (IAC), Brazil;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/catu-3-640x480-q50.jpg
